### params -i64 -r128 -u40 / keep median of reps 7 of dur 4000
# Result from 7 repetitions: median
#       LL_LAZY       LL_COUPLING   LL_HARRIS_OPT LL_OPTIK_GL   LL_OPTIK      LL_PUGH       
#cores  throughput    throughput    throughput    throughput    throughput    throughput    
1       8600670       2253368       6584520       8953342       8014855       8876100       
2       6654825       395643        8021307       6619202       9033584       6843785       
4       9689280       602799        13382966      7316571       13794994      10277018      
6       10089187      784471        13955128      5995818       15397878      10805496      
8       9472773       828962        15496998      6136105       15613485      11313612      
10      8458027       888734        16969740      6243478       16656172      12764098      
12      7442636       892969        18565804      6377164       17350967      13233789      
14      6373131       651258        19814183      6469652       19174924      13437631      
16      5878568       646408        21697819      6824807       20185617      13206748      
18      5590966       592604        22261648      6870989       21589236      12477820      
20      5337209       475031        23601205      7050446       22911424      11819634      
22      5177045       507742        24924962      7354328       22948166      11349263      
24      5194369       532504        24811739      7320522       24469830      11192882      
26      5161719       536588        25467106      7451944       25035112      10960524      
28      5121608       528856        25839692      7620084       25803195      10836543      
30      5051794       519253        26701714      7563263       26232784      10688102      
32      5063401       500866        27282254      7776320       26977396      10676367      
34      5020133       482096        28112028      7971771       27307828      10645720      
36      5029168       462742        28579749      7983226       28181195      10727234      
38      5041992       451109        29264073      8102443       28914438      10743800      
40      4922148       430396        29947066      8270381       29493683      10602048      
44      3205292       107272        29515170      7794761       26122122      7104842       
48      2315672       53991         29489324      7671198       24055378      5275977       
52      1563152       36584         29233472      7637416       22997822      4008252       
56      1124983       29096         29618088      7472697       22239526      3149006       
60      877577        25979         28958940      7529445       21413017      2129435       
