### params -i8192 -r16384 -u40 / keep median of reps 7 of dur 4000
# Result from 7 repetitions: median
#       LL_LAZY       LL_COUPLING   LL_HARRIS_OPT LL_OPTIK_GL   LL_OPTIK      LL_PUGH       
#cores  throughput    throughput    throughput    throughput    throughput    throughput    
1       8497          7680          9681          9155          9086          8540          
2       18118         3260          19117         17283         19094         18256         
4       36358         5808          38256         29823         38435         36644         
6       51634         8690          50738         34002         53608         51995         
8       64680         10607         64548         33945         66187         62660         
10      76864         12990         80347         34792         80169         77900         
12      91934         15552         91570         34793         92937         92634         
14      106378        18006         107404        35270         107764        104915        
16      119894        19825         119983        35840         119590        118621        
18      134095        22094         134319        36029         133054        133970        
20      147268        24061         147871        35699         149336        147614        
22      160748        26162         161123        36208         158966        162616        
24      174738        28042         173625        36281         173274        175320        
26      187732        29891         186124        36441         184610        186854        
28      200452        31704         197756        36827         198364        201305        
30      213518        33510         209120        36907         211618        212866        
32      225998        35291         220670        37174         220682        224832        
34      237085        37166         232432        37272         233415        238945        
36      251286        39007         244461        37629         244688        250799        
38      265157        40535         256661        37621         258224        264836        
40      276368        42098         265480        37926         269426        274407        
44      274006        1362          267122        38085         269040        273360        
48      271248        878           265616        38361         265818        271361        
52      272162        632           265572        38137         264202        271413        
56      269605        612           263460        38112         262824        271954        
60      269063        496           262243        38650         262538        269037        
