### params -w2 -i8192 -r16384 -u40 / keep median of reps 4 of dur 2000
# Result from 4 repetitions: median
#       HT_HARRIS     HT_JAVA       HT_OPTIK      HT_OPTIK_GL   HT_PUGH       
#cores  throughput    throughput    throughput    throughput    throughput    
1       16558133      31079684      17050580      16019745      16855262      
2       21079551      23835290      18572873      20539887      19830843      
4       43062350      46299886      37597424      42208799      41637146      
6       60975980      62211384      49391988      59336302      56272796      
8       78028178      80287444      63595610      76550252      76226570      
10      97134619      97615103      74946212      95910262      90554204      
12      110893335     107441160     83168730      109893534     98270682      
14      118326560     114170254     89152636      118232975     118540703     
16      133299468     103776328     96871215      131621640     117554560     
18      142339509     84734057      104834550     143875976     106087664     
20      152758784     60279718      108073035     153712006     93462026      
22      161255432     27904262      115430264     159616972     81547924      
24      167122578     48086622      118758620     168773042     59687222      
26      172258592     41286702      123613718     173605886     53591880      
28      179403294     33407397      127465301     179067986     52507300      
30      181671796     36719677      130599800     185410462     48094430      
32      188206134     38469490      134195641     189789142     46516772      
34      192828195     37451509      139333582     195722691     44671202      
36      197703360     36360142      142529150     202081148     43768275      
38      201329514     23775498      145879937     205541428     42900836      
40      205495155     26663808      148830242     210313516     42220836      
44      196742940     20308403      126918403     169920998     35107078      
48      186416222     19078046      117556852     159920848     31393125      
52      187296595     20210508      119289779     162921337     29483428      
56      182608687     13783086      118421475     155382000     27330245      
60      181627944     16712781      115909773     148003054     24929991      
