### params -i1024 -r2048 -u40 / keep median of reps 7 of dur 4000
# Result from 7 repetitions: median
#       SL_FRASER     SL_HERLIHY_LB SL_OPTIK      
#cores  throughput    throughput    throughput    
1       5037746       5829618       5841298       
2       5794464       7083974       7309383       
4       9454045       10610926      10863694      
6       11750572      12899683      13704695      
8       13426539      14880300      15489547      
10      15164677      16158555      17154288      
12      16168138      17185873      18314181      
14      16219225      18192468      19244773      
16      16568643      19189939      19746566      
18      17495144      19889848      20600487      
20      17426948      19808869      21368544      
22      17398974      20311623      21265433      
24      18104315      20211967      21794617      
26      17724822      20339234      21906245      
28      17695459      20690726      21676714      
30      17844349      20703942      21838009      
32      18009051      20382342      21191726      
34      17626229      20446497      21108974      
36      17860140      20268977      19769591      
38      17429533      17916641      16586681      
40      16443280      15630088      15341771      
42      16081257      13864708      14108763      
44      15992639      12767431      12421713      
46      15916673      10943407      11854815      
48      15765731      9980074       11025353      
52      15464732      8317690       9666827       
56      15539890      7297330       9233766       
60      15107106      5741574       8916501       
64      14510771      4909342       8287897       
68      14519753      4516250       7721435       
72      14498470      3842163       7589918       
