### params -i65534 -p60 / keep median of reps 7 of dur 4000
# Result from 7 repetitions: median
#       S_GL          S_TREIBER     
#cores  throughput    throughput    
1       22479961      18647141      
2       9592023       7419472       
4       4777803       5338443       
6       3901908       5410862       
8       2158340       5378408       
10      1822718       5390673       
12      1291777       5538421       
14      1207601       5661670       
16      1080150       5654148       
18      943417        5700253       
20      865067        5532858       
22      798630        5668945       
24      730033        5819845       
26      746862        5706747       
28      714056        5589061       
30      725720        5588729       
32      735188        5560083       
34      726370        5567268       
36      729148        5558961       
38      723392        5814969       
40      708873        5700513       
44      645426        5722602       
48      620204        5749609       
52      541084        5568959       
56      547526        5381526       
60      529071        5193044       
