###,params,-i65534,-p60,/,keep,median,of,reps,7,of,dur,4000
#,Result,from,7,repetitions:,median
#,Q_MS_LF,Q_MS_LB,Q_MS_H,
#cores,throughput,throughput,throughput,
1,13460730,15032239,15015631,
2,3546972,3645757,3525550,
4,1549911,2205251,2237592,
6,1218542,1620816,1580877,
8,1132783,1191572,1192352,
10,1060334,985783,988753,
12,1010098,849314,804172,
14,949572,711664,700651,
16,859613,621605,625520,
18,783809,558237,557737,
20,638385,498262,504922,
22,560276,462730,456669,
24,477200,423789,417912,
26,423945,390476,391676,
28,361581,359590,363118,
30,328362,339953,340633,
32,316593,321599,319572,
34,273892,303229,297623,
36,271410,278096,274108,
38,256473,258094,255485,
40,266631,242328,236965,
42,262562,225660,224896,
44,262817,212411,212392,
46,274872,202443,203534,
48,263009,196005,193564,
52,273329,179986,171323,
56,260933,158458,164566,
60,265308,156435,152982,
64,273189,139295,135487,
68,278091,126889,132464,
72,290228,124410,125597,
