###,params,-w0,-i8192,-r16384,-u40,/,keep,median,of,reps,7,of,dur,4000
#,Result,from,7,repetitions:,median
#,HT_HARRIS,HT_JAVA,HT_OPTIK,HT_OPTIK_GL,HT_PUGH,
#cores,throughput,throughput,throughput,throughput,throughput,
1,21600288,40009410,21679750,20364208,20934095,
2,39236631,55284430,23767356,37289754,22335634,
4,51163230,54915826,48517067,51930043,45874953,
6,73626784,75705529,68261434,71506550,56856121,
8,93481583,89676372,85436040,94883466,85592762,
10,116130529,105734918,108024721,117175178,97605226,
12,138103012,123529379,124943581,134575637,119684102,
14,157262794,137441081,142591307,154105436,136346960,
16,174822043,147300722,159227981,169399502,154755309,
18,194976332,158805964,173954464,186625918,171490701,
20,215758492,168044018,192021394,201101626,182161643,
22,228383130,175853635,200586738,221787130,199603942,
24,238641142,181943290,213405157,228540601,206005188,
26,247461085,187898554,221190374,239779695,212973461,
28,256215947,192435061,229237490,247806802,219274933,
30,265570454,196099899,236246876,256754044,224471444,
32,273634190,200405699,241961797,263246964,230792351,
34,281856951,204127795,248259146,270107374,234601490,
36,288387929,208922834,256132087,279718347,242576806,
38,296111571,213658684,261002468,281012328,246619906,
40,302136336,214449529,268078208,290446106,250473748,
44,275546534,85562707,237988450,252776318,84178319,
48,268634616,66003368,226643403,247580583,67144809,
52,260583962,55424172,221840814,236609654,54659526,
56,250579794,50286975,212418205,227837113,50338495,
60,246340202,47032183,203803109,217059012,45177914,
