### params -w0 -i8192 -r16384 -u40 / keep median of reps 4 of dur 2000
# Result from 4 repetitions: median
#       HT_HARRIS     HT_JAVA       HT_OPTIK      HT_OPTIK_GL   HT_PUGH       
#cores  throughput    throughput    throughput    throughput    throughput    
1       20672606      40170822      21692454      20722485      21149860      
2       25958132      30574470      24502632      37009382      38714668      
4       53887337      60373312      47166860      50093840      46189180      
6       74554284      87253976      70856174      74614527      74607587      
8       92222462      107194098     96603408      92275353      97695087      
10      116387208     116864326     107034808     113851730     120756292     
12      134644900     150082840     132863907     148369524     135786576     
14      153399999     150531282     145041804     152078858     151384063     
16      173273534     165296780     158902585     168348048     165875744     
18      190344360     176289529     170855704     190084320     191837596     
20      205255484     186097006     189582790     203722780     200795036     
22      229102150     200333462     198165472     222170118     213839123     
24      236423192     208187872     206773794     233335312     223726661     
26      247502704     214531744     213968634     231018878     234987737     
28      254379177     221316265     228473503     249668952     244978856     
30      265379318     231130664     236174272     256977076     251938619     
32      273714644     234992938     242370740     265755014     259322848     
34      279198708     241802059     248634732     271947160     262113342     
36      289886620     247471160     254755340     281607576     273098958     
38      293986894     252170646     260671396     285038756     279536056     
40      300309196     260585092     264318106     293201404     276716316     
44      276211308     144028620     219165844     247746758     144073094     
48      264157394     131078973     224855820     246961960     73232810      
52      259992044     117689662     219379708     235767410     64521180      
56      250827655     100649186     213863806     230119402     47615943      
60      250965594     83898938      211734272     228657299     45273664      
