### params -w2 -i8192 -r16384 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       HT_HARRIS     HT_JAVA       HT_OPTIK      HT_OPTIK_GL   HT_PUGH       
#cores  throughput    throughput    throughput    throughput    throughput    
1       9642871       18311612      9844558       10373867      10227626      
2       14375565      14837595      13143272      13927652      11592133      
4       23461169      21899296      20790725      22398633      18161166      
6       31107083      27447112      26606671      31078976      24225861      
8       35161752      29368446      27882253      33378837      26724878      
10      39004600      31799547      29927733      37201352      30110377      
12      42755535      33477639      31735607      40808649      33187887      
14      45346471      33175593      32768618      42720468      35065123      
16      48066344      30145943      34000254      44892169      35333011      
18      50192560      15618569      34376393      46613950      27423707      
20      52708605      11937643      35404964      48697620      17413959      
22      55115393      7395988       36018743      50372148      12848648      
24      57339489      6455175       36642007      51423883      10810500      
26      59623710      5543031       37601402      53577505      9482063       
28      62513305      7284614       38089113      55721793      8388698       
30      64872004      6691804       38615408      56803383      7695395       
32      66506162      5914402       38438568      58164326      7033190       
34      67841233      3977602       38561517      59163274      6445004       
36      68449747      5022032       39491712      60274582      5949779       
38      68532378      4475556       38732999      60473109      5559650       
40      67541488      3027031       39414184      60454028      5198717       
42      65267285      3825883       39192605      62435559      4982399       
44      61527715      3773984       38354470      67886286      4788346       
46      58967083      2537595       38062123      62469805      4612318       
48      55880932      3151369       37146255      62573225      4471415       
50      52921559      3116433       35517086      57661359      4332183       
52      52233095      2317121       33023701      49624899      4358521       
54      50903081      2742741       32030294      42793669      3896270       
56      49871068      2575038       28709341      35388630      4310031       
58      42820626      2100253       29731298      31195424      3865232       
60      34197444      2244054       26912729      25342880      3643787       
62      27793883      1563242       22673583      24291229      3932079       
64      24544438      1947398       18155364      18737002      3394873       
66      25966765      2015241       15589978      15685972      2753025       
68      25305830      1772555       18974165      18511499      3290066       
70      22300718      1280367       15743973      16206911      2998209       
72      19277901      1460602       15162692      15019315      2952759       
