### params -i1024 -r2048 -u40 / keep median of reps 7 of dur 4000
# Result from 7 repetitions: median
#       SL_FRASER     SL_HERLIHY_LB SL_OPTIK      
#cores  throughput    throughput    throughput    
1       6688919       7313504       7304226       
2       8538025       9084716       9983015       
4       16078358      17097275      17283106      
6       21158094      22135329      22090211      
8       25282453      26316579      26839756      
10      29501392      30615905      30465977      
12      33129626      35457663      34671864      
14      35498891      38763007      38754486      
16      39296860      42389645      41955828      
18      41860835      46211711      45634423      
20      43716824      48831796      49008807      
22      47786660      51970752      52051934      
24      49921584      54353318      53948841      
26      51757414      56226264      56553811      
28      54044342      59216187      59108870      
30      55665227      60886666      60322858      
32      56729278      61390194      62990116      
34      57796096      65211518      65012848      
36      59209668      65686233      66164737      
38      61078834      67380244      67862035      
40      62259105      69170576      69185349      
44      60039290      45640458      50617833      
48      58014896      35311617      42727985      
52      56813158      28390456      35696735      
56      56361894      21705603      30702404      
60      55081932      18658232      27080178      
