### params -i65536 -r131072 -u40 / keep median of reps 7 of dur 4000
# Result from 7 repetitions: median
#       SL_FRASER     SL_HERLIHY_LB SL_OPTIK      
#cores  throughput    throughput    throughput    
1       2964702       2999963       3051061       
2       5651272       5822386       5925266       
4       8168383       8453288       8541274       
6       12677365      13163429      12250725      
8       16170959      17139381      17232491      
10      18887589      19748357      20432399      
12      21094224      22848580      23233560      
14      24552110      26082305      26382863      
16      27715417      27998816      29334626      
18      30296060      32166978      31469020      
20      33955946      35171737      35501610      
22      35863390      37788363      37198702      
24      37749606      39576119      39042283      
26      39004733      41396070      41316465      
28      39643320      42765776      42897081      
30      41808356      44979224      44551187      
32      41757702      46003187      46273123      
34      43531270      47976132      46822038      
36      44741168      47840318      49436755      
38      45519668      49745360      50323142      
40      45713097      50337729      50678427      
44      44591948      41267493      48411373      
48      42630479      37055200      46803851      
52      41550959      34515592      45447534      
56      40751910      33084051      43484244      
60      39928958      30899536      42499019      
