### params -i64 -r128 -u40 / keep median of reps 7 of dur 4000
# Result from 7 repetitions: median
#       LL_LAZY       LL_COUPLING   LL_HARRIS_OPT LL_OPTIK_GL   LL_OPTIK      LL_PUGH       
#cores  throughput    throughput    throughput    throughput    throughput    throughput    
1       9971833       2268120       8258573       10369780      9514070       10243215      
2       7090930       452161        9499378       7470143       9739867       7215588       
4       7975509       668169        11973070      6720814       11540359      7721137       
6       7382776       847184        12440038      6293392       11553669      8102556       
8       7634141       627465        12274102      5811129       11417672      8230040       
10      7919776       373163        12218741      5134943       11473005      8546254       
12      7797737       298505        12188104      4525584       11610034      8273783       
14      7722066       238634        11915364      3780170       11229757      8282410       
16      7795852       222553        11690971      3153217       11502620      8248043       
18      7645361       192705        11707323      2787423       10986472      8161881       
20      7528916       161959        11567779      2497257       10916063      8281317       
22      7530921       153819        11322694      1808651       10755582      8218067       
24      7457293       135417        11240642      1701216       10789898      8240962       
26      7456140       129187        11008218      1487309       10627679      8147854       
28      7277287       115934        10867933      1316574       10530723      8090895       
30      7159459       109333        10757585      1213887       10537311      8039903       
32      7077368       102650        10619652      1108261       10317278      8030754       
34      7045592       94911         10549912      993299        10288991      7920231       
36      6736563       84687         10418811      976781        10181617      7813775       
38      6219365       76400         10429825      970353        9613077       7257852       
40      5471802       66114         10369791      902976        9224681       6621315       
42      4941494       57005         10460285      936163        9093945       5904963       
44      4342452       48414         10343426      863296        8877321       5267370       
46      3622915       43650         10406656      853383        8406905       4898682       
48      3118582       37253         10433264      875471        8400924       4352209       
52      2478735       34204         10543799      933035        7983587       3356990       
56      1786546       29254         10602300      925804        8033963       2808926       
60      1495826       25998         10793561      896736        7836717       2143096       
64      1281432       21780         10652471      939969        8019161       1624840       
68      1030807       20332         10227812      886411        8085708       1611732       
72      806427        18249         10846446      1020828       7958981       1180459       
