### params -i65534 -p60 / keep median of reps 7 of dur 4000
# Result from 7 repetitions: median
#       Q_MS_LF       Q_MS_LB       Q_MS_H        
#cores  throughput    throughput    throughput    
1       21735409      23347582      22296885      
2       6878026       4530659       4609661       
4       3369323       3281561       2902208       
6       3048128       2010245       2090392       
8       2918728       1535380       1664867       
10      2862847       1329168       1325634       
12      2877841       1157340       1053062       
14      2866951       933055        1067125       
16      2866329       880820        856466        
18      2826516       783173        733566        
20      2801128       712996        668971        
22      2792979       613544        633679        
24      2778304       607069        611492        
26      2712883       623260        600739        
28      2706218       600079        605244        
30      2635370       601782        601308        
32      2669576       615388        600208        
34      2636345       604660        600338        
36      2633860       607794        604821        
38      2596135       612608        610074        
40      2604877       615204        618866        
44      2607171       552744        567288        
48      2642796       502605        510602        
52      2733790       473435        479652        
56      2718597       439612        441082        
60      2711107       410133        420961        
