###,params,-w2,-i65536,-r131072,-u40,/,keep,median,of,reps,7,of,dur,4000
#,Result,from,7,repetitions:,median
#,HT_HARRIS,HT_JAVA,HT_OPTIK,HT_OPTIK_GL,HT_PUGH,
#cores,throughput,throughput,throughput,throughput,throughput,
1,3862433,15446375,3886320,3812305,3795998,
2,6208382,11328104,6211520,6323718,5546074,
4,10990142,14526407,10235875,11207084,9460195,
6,16120712,18422830,14302161,15459127,13477623,
8,19855311,22141343,17781806,19233951,17463426,
10,23453277,25593403,21591847,23527802,20989476,
12,27675324,29037594,25354339,27196682,23953701,
14,31087572,31979174,27551567,30285277,27697434,
16,34362208,34173926,30410962,34007890,30478099,
18,38027231,35927842,32954264,36455176,33857756,
20,41639404,24258063,35069794,40178297,36456137,
22,44844157,14562594,37150724,43247588,35501585,
24,47659070,11479418,39365652,46079816,27254249,
26,51130887,10331973,40396624,48750046,14913262,
28,53778521,9427366,41744788,51368853,12224270,
30,56826091,8304753,43258179,54334926,10786354,
32,61622727,7607378,43531330,56100215,9800509,
34,63704621,7843239,45094403,57978253,9085845,
36,64873585,6910636,45136584,59749070,8414277,
38,64320738,5990023,45549358,57278335,8009742,
40,62555396,5615541,44763714,55076039,7484187,
42,63861126,4947511,43383111,54861867,7210407,
44,62631846,4750620,43458558,53559007,7002613,
46,61787050,4163048,42138537,54254007,6790171,
48,63264311,4063065,40600608,52537196,6518663,
52,62275905,3491557,39798216,53035763,6242412,
56,62784557,3224074,38595950,51639881,5642383,
60,63557270,3080838,39303143,50465249,5515318,
64,62851151,2986679,38137338,51473064,5208462,
68,62721640,2797906,38390609,50367592,5071850,
72,62950947,2786760,37536821,48841634,4719384,
