### params -i64 -r128 -u40 / keep median of reps 3 of dur 7000
# Result from 3 repetitions: median
#       LL_LAZY       LL_COPY       LL_COUPLING   LL_HARRIS_OPT LL_OPTIK_GL   LL_OPTIK      LL_PUGH       
#cores  throughput    throughput    throughput    throughput    throughput    throughput    throughput    
1       6287128       2634640       1476147       5222779       6470128       5959536       6502721       
2       5907535       1115550       358188        7022154       5406933       7463645       5561076       
4       6155309       1238611       421684        9452544       5389848       9764670       7182500       
6       5124720       919256        608082        10502214      5273236       10250784      6887369       
8       4183015       826051        742273        11106820      5004084       10286687      7068248       
10      3364495       734394        514045        11128869      4774796       10285539      6742578       
12      3035882       698396        317412        10904737      4184822       10306934      6334596       
14      2856579       430947        238166        10943764      3950035       10184087      6116885       
16      2674423       397070        199574        10723754      3329121       10275639      5805429       
18      2635324       367614        180165        10701176      2794045       10102260      5630842       
20      2501347       340840        170982        10557982      2436690       10189821      5357034       
22      2436857       324323        159473        10435972      2034220       10111520      5076570       
24      2397642       313456        133107        10302922      1859661       10038324      4985535       
26      2339864       291154        122509        10370011      1647090       10026988      4835120       
28      2302968       280492        111743        10337092      1474744       9952200       4795188       
30      2239734       267778        104354        10220414      1343464       9914321       4730319       
32      2217453       247416        97668         10103753      1234632       9848701       4635880       
34      2170516       204597        90797         10074302      1149319       9844435       4614741       
36      2114214       168950        82268         9993543       1110039       9820771       4497015       
38      1794038       13032         70518         9964825       1085600       9222181       3860709       
40      1424774       6852          57216         9923904       1067690       8922420       3291627       
42      1226174       5761          43519         9989047       1072707       8315454       2930097       
44      1043050       4934          34718         9897762       1044116       8134897       2454399       
46      881454        4704          33555         9919140       1019361       7555853       2088883       
48      740895        4386          29290         9897762       997555        7701959       1937196       
50      629280        4421          24195         9860815       993428        7039530       1616560       
52      577249        4157          22501         9912615       1008528       6910126       1575500       
54      473712        4165          19913         9824566       963236        6491100       1221635       
56      439916        3854          18203         9823418       941731        6473010       1167474       
58      418972        3803          17558         9817007       993056        6086191       1030947       
60      349468        3724          17918         9722145       945609        5681911       830626        
62      358433        3597          14676         9755385       1048537       5850309       773994        
64      324324        3787          14664         9689695       942888        6079321       732097        
66      316581        3586          13536         9829969       999384        6544800       667174        
68      309892        3524          12520         9768419       1024908       6541129       575687        
70      309346        3476          9853          9662123       1024004       6484322       565979        
72      292590        3513          9421          9749668       960215        6376726       559545        
