### params -i1024 -r2048 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       LL_LAZY       LL_COPY       LL_COUPLING   LL_HARRIS_OPT LL_OPTIK_GL   LL_OPTIK      LL_PUGH       
#cores  throughput    throughput    throughput    throughput    throughput    throughput    throughput    
1       243241        711268        141424        219924        241856        242894        236586        
2       224387        808308        94063         216637        231159        225056        224141        
4       627924        727742        139880        595220        500326        633106        622866        
6       917506        664648        181756        879071        543143        924608        808484        
8       1130510       573115        215560        1054008       565423        1079542       1075748       
10      1279558       635275        240185        1176877       563081        1317887       1320379       
12      1552598       476056        108826        1409680       611864        1389655       1444878       
14      1778546       253732        125082        1622288       575882        1673478       1807910       
16      1821774       233174        148662        1754258       617042        1909844       1937068       
18      2254546       211882        176920        2073644       626436        2123786       2143051       
20      2397870       197001        201489        2285385       649905        2440296       2287526       
22      2455843       92676         202128        2348355       622573        2327596       2439942       
24      2581852       72863         218640        2482413       617958        2531022       2550612       
26      2637335       68491         232392        2483161       577041        2461454       2636432       
28      2532874       57082         248855        2576296       582396        2455702       2610456       
30      2593149       46714         35108         2607411       560375        2624038       2803965       
32      2698754       49183         46402         2686978       544481        2773374       2684379       
34      2448516       42684         14394         2816617       555002        2649276       2894318       
36      2659629       40225         14586         2836471       542180        2679613       2853156       
38      2758870       34636         7862          2996522       517850        2753103       2779440       
40      2899625       30153         5762          2992636       505610        2899990       2974550       
42      2620424       24239         1806          3072816       494166        2817280       3012655       
44      2929331       20730         1042          3216166       488826        2892646       2912970       
46      2700638       21108         978           2973084       516948        3035120       2791259       
48      2657130       17554         519           3020066       476525        2955725       2638858       
50      2752074       12710         573           2928686       487802        2807824       2426476       
52      2516624       14598         1076          3120429       477268        2866970       2605549       
54      2725102       13130         555           3054603       481860        2685386       2803910       
56      2649552       16476         181           3057584       474924        2807196       2469765       
58      2294274       10146         392           2960214       470044        2758328       2463326       
60      2363915       10028         187           2958658       472986        2753050       2448956       
