### params -i8192 -r16384 -u40 / keep median of reps 3 of dur 7000
# Result from 3 repetitions: median
#       LL_LAZY       LL_COPY       LL_COUPLING   LL_HARRIS_OPT LL_OPTIK_GL   LL_OPTIK      LL_PUGH       
#cores  throughput    throughput    throughput    throughput    throughput    throughput    throughput    
1       33522         35134         13824         32896         25274         25593         26710         
2       65810         16343         3908          54924         61238         58116         64513         
4       125455        15513         6283          127455        94412         114871        123861        
6       186448        16174         8255          180405        95414         173648        186998        
8       243900        17433         10538         239655        96630         230212        243964        
10      296981        18347         12592         297388        99379         279807        299857        
12      353614        18246         14913         353474        99520         333413        351564        
14      413267        14948         17201         415184        98109         389960        413826        
16      464858        14736         19446         468030        99086         427010        472817        
18      502772        14144         21032         522858        98713         495515        523713        
20      571122        14031         23707         558651        98416         543026        569780        
22      613736        13721         25742         591026        97945         564003        619297        
24      629456        13721         28045         648940        96359         614248        651626        
26      680210        13735         29425         658921        94211         648654        690685        
28      702371        13154         32216         713396        96934         676873        729927        
30      756803        13060         33327         740426        96700         717733        752393        
32      762732        12591         35569         769106        93823         743391        791491        
34      794392        10689         36076         814755        93483         756540        777295        
36      808054        8369          37148         810581        94127         793779        821574        
38      795091        3868          2207          805984        93326         788079        813286        
40      773900        3202          1525          785204        88504         757479        785237        
42      755142        2249          1104          749430        88510         732105        743311        
44      728110        2729          918           704927        88218         698412        749710        
46      707713        2816          844           686589        87443         670635        699677        
48      677891        2458          747           644386        83197         651892        679312        
50      647486        2477          694           632751        79427         627336        655119        
52      643098        2437          584           619995        77128         603599        641525        
54      616123        2279          594           595105        75038         589372        619575        
56      597350        2165          568           571051        70846         565374        594097        
58      569886        2041          555           535572        69070         554104        584614        
60      557647        1919          594           535715        67358         523970        569622        
62      518889        1908          542           525826        64534         510321        547083        
64      542335        1876          534           509389        64763         505195        535285        
66      519447        1615          470           484829        60362         497255        522935        
68      510524        1284          489           464645        60663         495583        507959        
70      502174        1645          463           472482        60074         474344        511167        
72      487130        1473          380           459819        59515         464891        507560        
