###,params,-w2,-i8192,-r16384,-u40,/,keep,median,of,reps,7,of,dur,4000
#,Result,from,7,repetitions:,median
#,HT_HARRIS,HT_JAVA,HT_OPTIK,HT_OPTIK_GL,HT_PUGH,
#cores,throughput,throughput,throughput,throughput,throughput,
1,10555155,18341274,10028549,10420496,9572769,
2,11392747,10725257,9704022,10908334,8734736,
4,17229713,15494123,13717830,17324885,13522248,
6,21767272,18927823,17580396,21676741,17199086,
8,26976387,22076415,20641596,26264246,21247169,
10,31189934,25658083,23620496,30602976,24338372,
12,34562457,27994840,25852489,34259866,27684655,
14,38580928,25356445,28229937,38486489,30400233,
16,42190268,24206604,31334589,40913752,31998810,
18,46092915,8924751,33130745,44328741,26159693,
20,48877957,10095759,34817357,47572798,15397738,
22,52556917,6456167,36049307,49021785,11416073,
24,55145720,8457077,37903480,53161331,10008568,
26,57968202,6894238,39263069,55115486,8855177,
28,60899000,6882944,39641013,56529717,8180239,
30,63574857,4735985,39221813,61785030,7365745,
32,64679864,5876105,39662675,62900100,6822246,
34,66767879,3879563,39274484,62229740,6272720,
36,66698456,5280862,39983008,65235694,5836733,
38,65624074,3319358,38271524,62168588,5637198,
40,65281615,4275691,36767438,57782119,5216084,
42,64894377,2964579,37506645,60440702,5154830,
44,65377709,2786723,36398642,59094504,4952788,
46,65222866,2747776,34706505,58113194,4730612,
48,64937099,3154050,36393457,56393130,4783947,
52,64810527,3117049,34825641,55434247,4359015,
56,64131000,2720336,34204794,53761586,3989241,
60,64021931,2491957,31922026,52323487,3860550,
64,64776217,2588384,32044277,52636741,3772403,
68,64871470,2316978,30417205,49439929,3674351,
72,64154325,2253673,30724736,48260121,3316399,
