### params -i1024 -r2048 -u40 / keep median of reps 7 of dur 4000
# Result from 7 repetitions: median
#       LL_LAZY       LL_COUPLING   LL_HARRIS_OPT LL_OPTIK_GL   LL_OPTIK      LL_PUGH       
#cores  throughput    throughput    throughput    throughput    throughput    throughput    
1       358209        228382        326569        355579        355211        350111        
2       622358        118504        486857        485432        601350        581684        
4       1235060       86176         1163198       830300        1258460       1219259       
6       1658526       118980        1550488       759295        1449508       1629912       
8       1805398       143185        1668712       740016        1907491       1850908       
10      2067139       168260        2052922       745320        2075330       2059956       
12      2379387       198591        2256482       701221        2331483       2493702       
14      2670358       225707        2544667       704063        2759762       2678231       
16      2923481       254278        2858864       689914        2877706       2924013       
18      3230668       274724        3095609       687625        3009538       3118502       
20      3294300       303070        3251515       700161        3456820       3625034       
22      3569754       326960        3565864       676628        3572216       3679004       
24      3844346       351612        3708015       689194        3727762       3821964       
26      3842045       375613        3913729       671812        3923406       3854550       
28      3911944       398043        3992454       666373        3923205       4062001       
30      4090683       421161        4150882       653607        4089121       4043297       
32      4067262       445450        4106057       625353        4091724       4101832       
34      4031604       466986        4138064       597885        4086096       4036982       
36      4020202       490767        4221408       564592        3942917       3970309       
38      3997295       513919        4374686       499542        4043594       4125992       
40      4102321       389131        4298741       453886        4011722       4168155       
44      3817331       16612         4217094       425976        3945676       3847837       
48      3562614       10371         4189573       414802        3911139       3632723       
52      3373362       7404          4057490       413108        3812368       3477103       
56      2977239       7858          3884694       405490        3705482       3302424       
60      2734054       7242          3782941       394830        3644150       3153642       
