### params -w2 -i65536 -r131072 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       HT_HARRIS     HT_JAVA       HT_OPTIK      HT_OPTIK_GL   HT_PUGH       
#cores  throughput    throughput    throughput    throughput    throughput    
1       5102952       15513021      4999709       5024853       5011416       
2       8611288       13784349      8405870       8520917       7829802       
4       15475761      21549233      15018017      15113881      13625318      
6       21381978      27248971      20466730      21033754      18815675      
8       25363578      30163617      23529524      24534198      21916378      
10      29145163      32161122      26562751      28264248      25465219      
12      32496591      34650314      29015926      31623521      28568869      
14      38041315      38202587      33476350      36571995      33242161      
16      38604188      36574185      33139414      36918717      33704228      
18      41375040      26366446      35261790      39606442      35887369      
20      45904468      29343787      37618984      43229223      39586488      
22      46304627      16327919      37297536      43025401      38291666      
24      48822850      12688483      38859079      45111644      29925943      
26      53249534      9121437       39539880      50149705      12419761      
28      54739811      9824627       41290157      50034496      12942685      
30      58148358      8814468       42510282      52351275      11444792      
32      59603004      5238834       41892498      55022618      9342302       
34      62776702      7498537       43370888      55512208      9233547       
36      65468702      6809345       43488434      56893773      8492877       
38      64290030      5553454       44184566      59155368      7190236       
40      70133320      5842045       44040156      60358663      7455858       
42      66872358      4892292       44203206      61878362      6473681       
44      73526697      4911965       43588922      61742204      6760489       
46      67242857      4352436       42688214      63038377      6090582       
48      75222821      4676559       41814175      61804332      6283774       
50      66298602      4970817       32846772      42201016      5772437       
52      67400586      4064063       38525981      47903868      5956737       
54      63934420      3125035       38909519      43251811      6298890       
56      50629713      3688242       30721945      29205679      5545406       
58      49303433      3484365       31519496      31425162      5629163       
60      37809317      2247362       27311871      26232121      5501580       
62      24893607      2499754       26647545      18260492      5036215       
64      22031366      2566593       15115980      20376127      4796380       
66      21062966      2012706       18132590      17638611      4258581       
68      18318455      2331420       17860507      12823088      4171552       
70      21643476      2269547       15087324      18362320      4840480       
72      17933385      1927743       14594856      12598180      3597030       
