### params -w2 -i512 -r1024 -u40 / keep median of reps 7 of dur 4000
# Result from 7 repetitions: median
#       HT_HARRIS     HT_JAVA       HT_OPTIK      HT_OPTIK_GL   HT_PUGH       
#cores  throughput    throughput    throughput    throughput    throughput    
1       16374216      20064185      16485223      16037073      15661957      
2       13832743      11414196      11336165      13406220      9766093       
4       18504362      15068454      14080250      18596286      13929329      
6       22915832      18023303      17194287      23126729      17650728      
8       26903143      20675968      20260408      26885781      20586282      
10      30698016      22582245      22105775      30726532      23347393      
12      33614371      18317670      23925308      33523539      22364532      
14      37190289      11347323      25821169      36882988      15539112      
16      39780281      8484312       26218698      39731951      10153262      
18      41959027      6948556       27278394      41833123      8426008       
20      44666006      6306868       27779461      43630707      6983852       
22      45662612      5408290       27671295      43697501      6257000       
24      45847775      5105652       27426295      45436586      5693961       
26      45621821      4603575       27366743      47276452      5118422       
28      43917939      4196544       27038239      46277951      4929122       
30      41975254      3928620       27044429      48393420      4487353       
32      39305992      3827733       27535445      48184206      4263854       
34      37648308      3527311       27562634      47574803      3887375       
36      36533945      3163078       26864321      47719912      3671765       
38      35490456      3124152       25975149      44771366      3530901       
40      36529289      2754038       24788307      43917733      3322944       
42      36286839      2680760       24066832      43167803      3159844       
44      35975154      2510659       23276956      43119836      3138489       
46      36984428      2391085       23379755      42419001      2975675       
48      36766011      2247778       22845677      42650713      2910799       
52      36352212      2147762       21801214      39555189      2728602       
56      37005334      2116813       21904587      40251689      2516073       
60      36347063      1968836       20759116      38978673      2464114       
64      36248758      1862596       20401077      38431803      2425035       
68      36656735      1789951       19755863      36626919      2221867       
72      36604693      1739012       20050979      38336435      2050135       
