### params -i1024 -r2048 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       LL_LAZY       LL_COPY       LL_COUPLING   LL_HARRIS_OPT LL_OPTIK_GL   LL_OPTIK      LL_PUGH       
#cores  throughput    throughput    throughput    throughput    throughput    throughput    throughput    
1       519753        282724        98673         380913        524172        465495        517556        
2       610362        187389        38636         522593        557101        568171        640672        
4       1037120       170448        57718         891736        745939        962321        1027130       
6       1433961       167216        64633         1293255       858889        1353238       1446003       
8       1794540       155209        64362         1629414       919339        1745544       1833764       
10      2150684       151224        72595         1982380       961373        2081611       2191769       
12      2495271       146589        81497         2320597       998962        2452688       2516268       
14      2766085       99205         88137         2630015       1023852       2779623       2817737       
16      3007565       91144         91354         2938893       1044394       3127363       3064561       
18      3238911       85383         95819         3113882       1065065       3273154       3347986       
20      3388605       82226         105621        3328733       1021914       3574308       3593299       
22      3401196       78983         115625        3543621       1043597       3768139       3722751       
24      3798975       77869         123992        3723974       1048235       3906553       3777102       
26      3686216       76468         133186        3822941       1007815       3891195       4044126       
28      3998818       74044         141524        4093473       1014333       4229120       4000331       
30      3780384       72603         151239        4150335       964604        4691789       4309405       
32      4017137       65984         160022        4632724       1057123       4333657       4202065       
34      4422126       51114         170060        4410094       915582        4587930       4369491       
36      4028582       34904         177576        4411904       927937        4839694       4473148       
38      4028619       25501         185941        4252327       936368        4794934       4418268       
40      4226986       20807         194683        4570318       811523        4958478       4461311       
42      4341383       17835         202383        4485653       840098        4927857       4477566       
44      4228524       16297         211768        4930800       826569        5062549       4542481       
46      4169125       15420         220921        4537051       759498        4629269       4478339       
48      4466808       14150         219352        4600894       739810        4914750       4354151       
50      4164852       12615         7334          4512721       725489        4840931       4368738       
52      3810807       11988         2070          4495997       767371        4515579       4156343       
54      3956054       11629         2647          4610623       795951        4423868       4079031       
56      3778818       10452         1712          4297234       782928        4447769       4129371       
58      3585691       9671          461           4283855       766126        4433852       3896204       
60      3319739       8505          396           4208857       758705        4369484       3891664       
62      3027267       8846          317           5080789       761191        4634169       3557129       
64      3146090       8147          624           5078792       769787        4867303       3405080       
66      3235546       8324          292           5102431       730984        4660500       3489688       
68      2831597       7109          255           5128557       777959        4474884       3063499       
70      2465823       5949          287           5024281       747220        4923813       3260296       
72      2526552       6980          657           5060077       767404        4414869       3145186       
