### params -i65534 -p50 / keep median of reps 7 of dur 4000
# Result from 7 repetitions: median
#       Q_MS_LF       Q_MS_LB       Q_MS_H        
#cores  throughput    throughput    throughput    
1       21732652      23347582      22299006      
2       6214192       9020346       8852410       
4       3453840       2950199       2846104       
6       3032850       2027213       2069817       
8       2923015       1539374       1616386       
10      2866203       1312058       1370197       
12      2879864       1128184       1041581       
14      2859741       887308        936610        
16      2847692       818183        831578        
18      2835832       782398        748149        
20      2841937       712298        704993        
22      2794172       673776        700830        
24      2761612       638866        614706        
26      2687131       606739        614661        
28      2694834       603943        604103        
30      2679514       605352        608565        
32      2686509       600432        607370        
34      2668063       610325        609325        
36      2645512       613763        615043        
38      2682764       608746        616867        
40      2587276       614284        608069        
44      2658930       560332        561165        
48      2692128       505313        511378        
52      2714578       476428        483261        
56      2645310       441635        433551        
60      2724169       418203        424636        
