### params -i1024 -r2048 -u40 / keep median of reps 3 of dur 7000
# Result from 3 repetitions: median
#       lpdxeon2680lb-ll_lazy_0 lpdxeon2680lb-ll_copy_0 lpdxeon2680lb-ll_coupling_0 lpdxeon2680lf-ll_harris_opt_0 lpdxeon2680lb-ll_optik_gl_0 lpdxeon2680lb-ll_optik_0 lpdxeon2680lb-ll_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       402807       368230       228248       360178       401902       392957       397920       
2       330997       431807       135531       311408       533887       423191       386262       
4       796292       422046       98210        623162       728699       675885       623330       
6       1022872      413645       128694       1002653      795493       1020569      987417       
8       1439206      394779       151807       1362507      821285       1466160      1416451      
10      1901000      399814       181218       1865441      805523       1966860      1874090      
12      2404500      419719       205694       2300322      804781       2394974      2337439      
14      2988648      417470       226099       2796109      793398       2975943      2760440      
16      3443215      391201       266777       3326642      809414       3525186      3442075      
18      4001922      401893       279282       3764809      802627       4011074      3924176      
20      4531947      377624       305924       4143881      808797       4540598      4359036      
22      4936891      393356       327871       4631426      791616       4873287      4829666      
24      5458214      378575       350877       5166241      792875       5397478      5365533      
26      5912427      365250       378323       5641643      804477       5820195      5819321      
28      6296447      353208       398777       6066739      798324       6327670      6250704      
30      6655963      341960       422498       6406953      792680       6580979      6444310      
32      6858314      335030       438486       6566847      780091       6864975      6715091      
34      7211180      328704       463246       6901380      772729       7374475      7091584      
36      7480123      323418       483758       7198387      745935       7782245      7240802      
38      7795576      319208       505917       7450642      738566       7509477      7345956      
40      8047434      315488       521041       7524565      705948       8388882      7629595      
44      1399715      4651         27982        5342052      653852       5524296      1430595      
48      890439       2598         9575         5576003      674811       5720954      930347       
52      697944       2442         7317         5619908      668642       5800387      747202       
56      694891       1553         4292         5436731      678840       5578408      671606       
60      710586       1383         3646         5192086      666465       5531181      662063       
