### params -i1024 -r2048 -u40 / keep median of reps 3 of dur 7000
# Result from 3 repetitions: median
#       lpd48corelb-ll_lazy_2 lpd48corelb-ll_copy_2 lpd48corelb-ll_coupling_2 lpd48corelf-ll_harris_opt_2 lpd48corelb-ll_optik_gl_2 lpd48corelb-ll_optik_2 lpd48corelb-ll_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       185521       149611       92587        171718       188173       172488       188121       
2       348375       124963       16203        312411       316900       329205       353567       
4       664602       126197       28533        602321       439072       622455       676490       
6       849662       126086       39399        735596       400605       777431       820627       
8       954452       128605       50412        857704       380967       903514       955423       
10      1073986      122950       59487        996216       367579       1034327      1131257      
12      1268304      132117       71192        1171085      369036       1122852      1194433      
14      1317214      123838       79971        1232413      367794       1313863      1355868      
16      1470252      131622       90248        1370118      385984       1407187      1568941      
18      1612479      125203       98899        1569307      375466       1482684      1657406      
20      1698120      129116       109618       1642380      377448       1661285      1802188      
22      1852282      124578       122089       1773545      392719       1709221      1864955      
24      1916201      130547       129603       1931495      383747       1868956      1983948      
26      2221383      125076       138388       2005904      380550       1955553      2079938      
28      2289250      123625       149303       2027994      376252       2072607      2212238      
30      2187413      126633       154034       2164786      376703       2152165      2363901      
32      2374839      124526       161892       2225524      375447       2208981      2419467      
34      2482287      128147       168344       2219766      365495       2325289      2565844      
36      2587949      122494       171110       2414930      351419       2350997      2704112      
38      1588862      7031         4741         2137036      323403       2208729      1599379      
40      1319246      5186         2630         2188042      313369       2166867      1422912      
42      1141306      4178         1765         2175687      311526       2237563      1134198      
44      1039512      3495         1320         2204935      303486       2191675      1092464      
46      1063674      3208         1090         2212772      315894       2274500      990712       
48      897845       2755         954          2130591      299893       2178105      1000674      
52      848777       2461         849          2150529      296800       2293206      888397       
56      795775       2346         853          2215874      296464       2388322      801356       
60      804568       2050         753          2046661      295143       2140550      831224       
64      767120       1949         749          2060095      283169       1989544      787925       
