### params -i65536 -r131072 -u40 / keep median of reps 3 of dur 7000
# Result from 3 repetitions: median
#       lpdxeon2680lf-ht_harris_2 lpdxeon2680lb-ht_java_2 lpdxeon2680lb-ht_optik0_2 lpdxeon2680lb-ht_optik1_2 lpdxeon2680lb-ht_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   
1       14427033     23243726     15110636     18833526     15792901     
2       18923034     35684747     27138684     32794619     28043829     
4       40078013     38188209     43475865     44509170     38005134     
6       71355533     66452254     72010145     79583050     63876552     
8       89611373     96390948     88308759     107415350    94990825     
10      107970971    116259469    108306816    127805360    110098178    
12      114891791    120197239    116005080    129054974    116779917    
14      115365815    116786527    115325543    123617347    113516595    
16      114192378    109615222    112092835    118114440    104624363    
18      109297188    97090235     108627848    108599324    98061828     
20      101372361    90797182     98943592     99354731     89756039     
22      57216031     82890523     92417400     89937506     75003200     
24      65547483     76312216     87575342     90534981     77753819     
26      62134767     73839017     86654758     85917480     70310598     
28      58936949     66243812     82373893     80768918     68161781     
30      51872273     60590146     83103471     83746214     65314016     
32      31049739     57911703     78265421     74744449     59128784     
34      22724202     43306736     73092561     74442300     52232485     
36      21235219     49605107     66592912     69109507     49080022     
38      20088213     44525999     56961348     55745074     42568135     
40      26725083     34927324     33429135     29825890     27928951     
44      19842707     790603       1746887      1720705      1659633      
48      20130267     517539       965405       973332       990269       
52      20528045     441983       697157       703794       676699       
56      20942376     417597       589333       600262       560155       
60      20899951     404043       531118       535453       536662       
