### params -i8192 -r16384 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdxeon2680lf-ht_harris_0 lpdxeon2680lb-ht_java_0 lpdxeon2680lb-ht_optik0_0 lpdxeon2680lb-ht_optik1_0 lpdxeon2680lb-ht_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       22087875     33247960     21909260     27040772     24087235     
2       25738883     49401362     25746309     48306432     29366044     
4       70213648     69205632     57019783     73058848     69636336     
6       111134751    113916302    100144764    127867040    100023154    
8       131403750    136733196    131277035    145047520    135200686    
10      146781174    148902100    140663436    150922196    140720482    
12      135733898    146213188    136935991    132270812    135564676    
14      118283938    130395492    121160054    121219460    121917422    
16      104404252    121441122    113886102    99781376     111703136    
18      88969717     114647860    99852426     85253718     94745489     
20      78628281     106626838    82847032     77134076     80428230     
22      54900510     98960799     60049284     49475561     47798058     
24      57715208     97351083     49132806     54354074     47514341     
26      54525194     91620608     37615333     45077878     39253192     
28      48767800     87982944     55318272     43538233     52703178     
30      29356720     77841600     48402478     46181980     47599248     
32      21650246     74123030     56561174     42633970     43368146     
34      21081144     68001816     43733059     31931480     39045282     
36      21246314     62957950     36077508     33073780     35309308     
38      21416892     55913834     36205132     32334203     36173980     
40      21335247     42700130     35947893     36550809     34948591     
44      21592705     1163832      15080196     16256736     16043105     
48      21815858     922996       9579806      10441498     9842725      
52      21922870     880290       7646174      7159793      6992002      
56      21921488     836313       5449072      5848492      5434827      
60      22191021     871209       4360043      4247132      4192220      
