### params -i65536 -r131072 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpd48corelf-ht_harris_2 lpd48corelb-ht_java_2 lpd48corelb-ht_optik0_2 lpd48corelb-ht_optik1_2 lpd48corelb-ht_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   
1       4766007      11212071     4760900      7355649      5885762      
2       7231649      9900785      6696135      9143211      8356788      
4       12026016     13703676     11439971     15014120     13913365     
6       15610666     16308198     14676414     20120494     17886320     
8       17407668     15776966     16689811     21946304     19622990     
10      18597426     20547535     17925070     24204364     20330608     
12      20317474     19938389     18078098     26364468     21263258     
14      21602715     24108952     18484810     26542910     20609519     
16      21794929     25407933     19673004     29533850     21893322     
18      22763338     24970905     20183661     28642613     22703710     
20      23560506     19838972     19502265     21725741     23160087     
22      23850244     28314059     21098592     32485344     22474569     
24      23826082     26268148     20650916     31835241     23338722     
26      24704133     29945584     21654809     36774011     24765299     
28      25393645     24484834     21951844     23810856     24314794     
30      26051189     22357568     22422191     35557972     24102522     
32      26705976     21017866     19830272     27697073     23733365     
34      26062221     19077805     24202164     24592588     26931229     
36      22939969     13990721     19254947     3461264      4452110      
38      18303308     1236242      1864662      1885888      1942523      
40      17574063     879290       1252333      1317850      1294803      
42      17589058     799170       1126171      1062404      1121163      
44      17858330     745047       997511       1026036      1029988      
46      18073428     742304       989093       988851       1039691      
48      18441745     758943       948079       963419       924160       
52      18768924     792833       957410       931513       892628       
56      19092751     836035       953681       910537       928885       
60      19594586     879356       962709       935570       944526       
64      19414848     890190       899280       937075       1036192      
