### params -i64 -r128 -u40 / keep median of reps 3 of dur 7000
# Result from 3 repetitions: median
#       lpd48corelb-ll_lazy_2 lpd48corelb-ll_copy_2 lpd48corelb-ll_coupling_2 lpd48corelf-ll_harris_opt_2 lpd48corelb-ll_optik_gl_2 lpd48corelb-ll_optik_2 lpd48corelb-ll_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       6158929      1651701      1472277      5026914      5974215      5558745      6205949      
2       6621039      1051517      247889       6450679      5602601      6882268      6836946      
4       7215012      1050950      437613       8664832      5421233      8637643      7958740      
6       7192913      1052906      600100       9145225      5450766      9010786      8086009      
8       7162658      1072792      735974       9108830      5087861      8832588      7709675      
10      6822403      1045757      572567       9189806      5005707      8950543      7512745      
12      6617991      1045483      322539       8924253      4715261      8786190      7365750      
14      6339399      1031886      245652       9016797      4252686      8892855      7175180      
16      6268856      1018980      216132       8827396      3886495      8680945      7062408      
18      5942471      1003987      183848       8750427      3194435      8569691      6894818      
20      5754065      1029416      161100       8698773      2995501      8476386      6758210      
22      5607354      1014289      150143       8641875      2355382      8492764      6635332      
24      5393970      1003129      131457       8479791      1955048      8364918      6539453      
26      5267212      993651       127887       8459420      1823558      8343621      6383025      
28      5160861      1012649      112016       8449260      1626016      8307382      6280918      
30      5020963      977813       105509       8284286      1521272      8258159      6157657      
32      4915498      985487       102239       8250545      1345780      8185302      6066750      
34      4811563      945789       89950        8187614      1299521      8137342      5950316      
36      4600348      895416       82717        8101220      1297537      8078442      5827900      
38      1990369      9139         68903        7571885      2557775      7477213      2090599      
40      1580377      7836         56004        7682281      2608598      7596830      1526786      
42      1285888      5245         44830        7830537      2636620      7781230      1411782      
44      1163157      5313         37701        7907004      2730477      7866471      1238838      
46      1020550      5044         33321        7996128      2830064      7966228      1084721      
48      932171       3982         29283        8056884      2795753      7916660      923022       
52      715909       4300         21864        8034401      2809427      7940168      838417       
56      658972       4381         21687        8072022      2797867      7950611      733837       
60      571250       3962         15273        8109640      2802422      7924236      648259       
64      592466       3873         14263        8051586      2688089      7995449      605409       
