### params -i512 -r1024 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpd48corelf-ht_harris_2 lpd48corelb-ht_java_2 lpd48corelb-ht_optik0_2 lpd48corelb-ht_optik1_2 lpd48corelb-ht_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   
1       15522655     17738739     15400091     16909872     15923998     
2       14102288     12112080     13748666     14074454     13935090     
4       19023179     15255427     18098722     17297988     18125624     
6       22406400     17920808     22072334     21428283     21561135     
8       20428877     20828778     24131808     24323616     22931437     
10      26116243     21094179     24148610     26433978     24380082     
12      28830511     18568781     23791799     26318344     23745367     
14      26287658     19612477     26957545     26997482     24102014     
16      25768092     22032852     27618231     26582190     26185045     
18      32551185     19293474     27986526     28163181     25194729     
20      25821199     16063933     28446539     28853224     25757830     
22      31079006     14053045     28643763     30108397     24104129     
24      34187282     10300931     28725338     29286781     22358265     
26      34786189     9223068      30135017     31463516     19843971     
28      31131907     8077657      29912493     31037304     15382272     
30      34300543     7647857      30752307     30690193     12730284     
32      36057996     6995137      29884365     31989030     11642623     
34      32897811     5846718      30489010     24658768     10484262     
36      31536021     5430374      24188393     29324105     9514850      
38      25519073     1694071      1895446      1582956      1751042      
40      23976677     1338460      1059071      994579       1276888      
42      22402528     1103186      901904       886802       987397       
44      21564451     1100922      887952       861151       960036       
46      21467091     1001371      850804       892103       995940       
48      21692951     1063281      911306       845121       919679       
52      22057447     1122728      836442       933413       993090       
56      23205798     1146780      932785       917392       1088642      
60      23214133     1291514      971848       1008836      1158389      
64      22534177     1291260      1034058      1143641      1143628      
