### params -i8192 -r16384 -u40 / keep median of reps 3 of dur 7000
# Result from 3 repetitions: median
#       lpd48corelb-ll_lazy_2 lpd48corelb-ll_copy_2 lpd48corelb-ll_coupling_2 lpd48corelf-ll_harris_opt_2 lpd48corelb-ll_optik_gl_2 lpd48corelb-ll_optik_2 lpd48corelb-ll_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       13643        21326        10152        12639        13773        13371        13765        
2       25712        21627        2406         23269        23485        23935        25001        
4       43418        23242        3726         40932        34313        41071        43734        
6       54316        24548        5203         51020        34519        51346        53253        
8       64036        23250        6732         61142        34926        61931        64429        
10      74328        23791        7958         70615        34597        70109        73688        
12      83294        22617        9411         79547        34941        81775        82967        
14      93076        23832        10509        89755        34558        90559        92891        
16      103243       23387        11873        98586        34800        98897        102735       
18      111483       23148        13387        106782       35310        108421       112072       
20      120052       23877        14238        116733       34958        116954       120252       
22      129470       23270        15507        124577       35297        125944       129832       
24      138269       23613        16911        134772       35238        134023       139349       
26      147544       23413        17936        142188       35348        142132       147138       
28      154206       23268        19186        148171       34820        149319       155014       
30      160659       23398        19834        154106       34395        155347       161109       
32      167383       23448        19784        160228       34349        162450       166449       
34      172260       23061        21393        164933       34668        167183       172766       
36      179417       22728        20170        173410       34236        174549       180379       
38      178965       6596         1650         171859       33725        171837       175351       
40      176625       4520         1078         170879       33888        171258       176732       
42      174256       3579         934          170863       33726        169856       175199       
44      174927       3023         762          169293       33848        169179       173828       
46      173272       2767         695          167922       33929        170206       174874       
48      173445       2543         598          166963       33902        169226       172949       
52      170612       2124         487          163909       33391        164421       170217       
56      166301       1899         431          163577       33728        164466       168763       
60      166802       1832         398          161818       33195        162421       166735       
64      165643       1723         336          161011       33060        164059       166976       
