### params -i512 -r1024 -u40 / keep median of reps 3 of dur 7000
# Result from 3 repetitions: median
#       lpdxeon2680lf-ht_harris_0 lpdxeon2680lb-ht_java_0 lpdxeon2680lb-ht_optik0_0 lpdxeon2680lb-ht_optik1_0 lpdxeon2680lb-ht_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       32112001     37100926     31763427     34600511     33267189     
2       29905053     42297113     35669962     51972287     47899235     
4       66581975     79147957     61791024     89329177     69658328     
6       117649854    102595967    107055162    118048978    108112903    
8       149278632    136767528    139102385    151465176    141131494    
10      159911871    158037024    147752311    161581920    154634499    
12      149032212    148600501    149180941    153456055    150455769    
14      131048306    141874620    142402015    142867394    141023063    
16      114562765    127789602    131157375    133946551    131746808    
18      96772125     115585630    121585626    121396680    123553793    
20      86038252     104714715    109191952    107354878    106459152    
22      60913507     99918352     100393365    93907982     102978395    
24      60929719     94757417     93753619     89849215     94966033     
26      61334307     89061419     89391800     81794535     83828492     
28      48250707     88016189     84306695     84953442     86834305     
30      23178566     82858710     82621536     85225511     81999491     
32      20824443     76815577     70612864     81850739     78421556     
34      21361985     70321338     72713041     73355185     74003931     
36      20859274     64914102     63344524     66652212     66514976     
38      20856373     57191467     44719749     56288168     56783123     
40      21025473     37505360     32022486     32417480     33194327     
44      21126837     822897       1503174      1457705      1475803      
48      22010651     603380       924377       929301       935848       
52      21667577     528609       703968       704469       689166       
56      21773673     505998       608505       608381       593696       
60      22073219     488809       574782       575940       560591       
