### params -i65536 -r131072 -u40 / keep median of reps 3 of dur 7000
# Result from 3 repetitions: median
#       lpdxeon2680lf-ht_harris_0 lpdxeon2680lb-ht_java_0 lpdxeon2680lb-ht_optik0_0 lpdxeon2680lb-ht_optik1_0 lpdxeon2680lb-ht_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       17765292     28101997     18625149     24349001     19451616     
2       29406608     45051832     29043272     34940471     22079165     
4       54495911     63053002     46313000     80605163     51918689     
6       89313883     100679181    88545590     118928612    94966652     
8       115598554    123985015    116607196    136013107    111627791    
10      128306943    145729718    131218270    140680732    131438392    
12      125109390    138493772    125097617    125582942    127372187    
14      119776440    127704070    118525219    113816788    118708213    
16      108479307    118424828    106630758    92950537     107023526    
18      97133609     106255575    94954168     80499896     97669491     
20      82539705     97825264     82516324     71486311     81484158     
22      62159576     93178606     60561018     58805651     62357717     
24      54219183     87773427     56347873     51349308     52187506     
26      52893751     83545334     53471866     48170722     53913250     
28      34885841     81414791     50713132     34273173     45483326     
30      22316381     78039058     27627366     23788552     26636332     
32      21651581     71435108     21380499     22090263     22552203     
34      20759979     65995840     31322030     21126110     21748237     
36      20918021     57060486     21063146     21139778     21040622     
38      21041799     53436967     21740593     21590324     20971850     
40      21062297     15802067     21304170     21356386     21235556     
44      21163099     809293       21202193     21476203     20966867     
48      21241178     573337       21070916     21726143     21104614     
52      23916258     473681       21647475     22194029     21555097     
56      21450561     443017       22135831     22453395     22528966     
60      21374366     431096       22410927     23477092     23023001     
