### params -i64 -r128 -u40 / keep median of reps 3 of dur 7000
# Result from 3 repetitions: median
#       lpd48corelb-ll_lazy_0 lpd48corelb-ll_copy_0 lpd48corelb-ll_coupling_0 lpd48corelf-ll_harris_opt_0 lpd48corelb-ll_optik_gl_0 lpd48corelb-ll_optik_0 lpd48corelb-ll_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       9477438      1678977      2365637      7722622      9636548      8660454      9574745      
2       8133318      1131801      498148       8448630      8008686      8917861      8387138      
4       8680076      1057532      682341       10021049     7149815      10115787     9256602      
6       8881724      1021662      818605       10461228     6495033      10286870     9601016      
8       8644336      1017571      612034       10273683     5639123      9943052      9214069      
10      8441233      1000518      378769       10012148     5171788      9773739      9218125      
12      8149632      1006263      295306       9926134      4265815      9609980      8939897      
14      8088223      1026574      237075       9793155      3597271      9480390      8691152      
16      8075777      1003374      208292       9609491      3330442      9273698      8532690      
18      7895605      1017875      188847       9452280      2881321      9239330      8450183      
20      7840998      1005459      163778       9314548      2498889      9066383      8278887      
22      7636416      1005262      143736       9185550      2068849      9030305      8368912      
24      7591279      971590       135025       8972865      1699872      8817719      8019239      
26      7543424      964943       124847       8939324      1723149      8822163      8028466      
28      7539848      959066       119725       8898614      1458541      8673442      7972806      
30      7231037      938925       105777       8719743      1326209      8662995      7741965      
32      7267890      978934       98984        8682820      1334886      8523757      7670801      
34      7141495      915197       90573        8548181      1234300      8440201      7355180      
36      7041055      911857       85554        8482733      1374777      8381720      7385734      
38      1667802      9243         73563        7912750      2538537      8035523      1605237      
40      1199442      7353         65324        8071576      2602323      7965809      1199821      
42      938634       6697         54993        8274060      2784048      8214139      1051496      
44      868949       7040         50691        8344070      2611925      8304922      917630       
46      775262       5299         39920        8430495      2642891      8348963      823853       
48      770283       7013         41928        8456237      2792594      8413031      738830       
52      621336       4920         31063        8453128      2752628      8381510      723283       
56      553659       3981         25710        8462799      2735363      8303004      635290       
60      592700       4596         21514        8480036      2728732      8425429      590645       
64      525264       3892         22912        8497115      2648214      8370112      547587       
