### params -i65536 -r131072 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpd48corelf-ht_harris_0 lpd48corelb-ht_java_0 lpd48corelb-ht_optik0_0 lpd48corelb-ht_optik1_0 lpd48corelb-ht_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       4250168      11581097     3481079      6531854      5704719      
2       6944027      11259493     6144791      10169104     8409775      
4       14100996     18345773     12232077     18457757     15878587     
6       19684048     23121081     17984830     27340570     24056798     
8       18547093     25459932     20285166     32913080     26762217     
10      24700349     28146795     28037883     38342021     30714996     
12      33550564     32862105     31481970     39510694     39930889     
14      34204774     34289992     34151356     45650148     40870853     
16      37284586     35200048     38678213     41223539     47523932     
18      41033135     39961238     41396809     50067555     42415790     
20      37438322     40160943     39489001     44753603     48139673     
22      26838995     41945366     27939404     50752267     51624497     
24      31990572     42350491     40815825     50166299     51686329     
26      32419514     40985973     38128780     44021191     48669598     
28      29685838     40663661     45174298     42640778     41554466     
30      34669502     42828189     42162444     39458338     45926561     
32      48583096     44789072     35143559     34531328     31608634     
34      31718521     28984895     44024615     39328839     34549056     
36      30703940     35428343     37736956     34169340     32821288     
38      30895019     1138469      22712760     23574482     24151324     
40      30025289     742284       16397123     20430194     19763488     
42      28193215     726136       17199667     21359269     18548095     
44      26843212     702374       18938451     19041635     17783528     
46      26235653     711901       17307225     18397588     17638364     
48      27561981     695554       18360303     19301415     18169797     
52      27943553     716407       19865464     19916554     19165091     
56      28333564     728422       19431558     21600205     20387070     
60      27758262     736117       21240914     20643897     19354000     
64      28287359     796759       20237868     21377253     21094971     
