### params -i8192 -r16384 -u40 / keep median of reps 3 of dur 7000
# Result from 3 repetitions: median
#       lpdxeon2680lb-ll_lazy_2 lpdxeon2680lb-ll_copy_2 lpdxeon2680lb-ll_coupling_2 lpdxeon2680lf-ll_harris_opt_2 lpdxeon2680lb-ll_optik_gl_2 lpdxeon2680lb-ll_optik_2 lpdxeon2680lb-ll_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       10176        50132        10475        10180        10214        10411        10216        
2       19267        70700        3712         19286        18237        19617        19221        
4       36114        68346        6192         36121        29213        36502        36015        
6       50391        68893        8716         50465        33597        50725        50265        
8       63797        69164        11602        64192        34447        63808        63224        
10      75557        68302        13590        76358        35383        76091        76099        
12      87354        68246        16098        88049        35887        88612        88146        
14      99530        65476        19010        99403        35815        99447        99472        
16      110550       65634        20172        110335       36197        110605       110358       
18      121761       63252        22256        121735       36357        121261       121674       
20      131910       64231        24940        131919       36014        132642       133297       
22      143248       64565        25965        142371       36573        142098       142763       
24      152852       60954        27033        151336       36378        151765       153802       
26      162904       58932        28298        161529       36393        161339       161962       
28      172944       56419        29694        170977       36166        171096       171704       
30      181238       55221        31342        180012       36352        179999       179751       
32      189448       53845        33017        188803       36371        188708       189101       
34      198692       53323        34668        196892       36278        197594       200510       
36      207893       51929        36445        206568       36109        203882       208342       
38      214085       51231        38075        212840       36581        212846       217727       
40      226319       50228        39741        221851       36274        216435       223610       
44      222177       4296         982          219754       36282        216837       222436       
48      218504       2686         594          217153       36534        215264       218730       
52      213629       1962         468          214255       36172        210715       214057       
56      208043       1634         413          205861       35739        207160       208989       
60      208550       1365         313          202760       35714        205860       207114       
