### params -i1024 -r2048 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpd48corelb-ll_lazy_0 lpd48corelb-ll_copy_0 lpd48corelb-ll_coupling_0 lpd48corelf-ll_harris_opt_0 lpd48corelb-ll_optik_gl_0 lpd48corelb-ll_optik_0 lpd48corelb-ll_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       553381       149360       160965       455037       551306       495406       549188       
2       987520       116959       31521        835501       780590       903677       1008538      
4       1716612      127833       50548        1528714      919624       1564751      1792853      
6       2271768      123885       68796        2086662      839196       2144665      2395519      
8       2805669      122707       84972        2502398      806575       2618276      2924982      
10      3297636      129886       105158       3059180      707638       3084907      3356780      
12      3645917      132088       120845       3399703      774076       3476871      3865041      
14      3974798      125016       137606       3848458      685603       3763456      4074020      
16      4256718      138505       145618       3980786      729863       4053282      4385052      
18      4601001      134040       167444       4271007      724432       4531132      4632897      
20      4650202      126050       183725       4534248      651488       4687002      4809891      
22      4725255      125254       198477       4778170      753812       4840545      4977446      
24      5017296      127447       200769       5035767      720428       5133331      5286760      
26      5187116      126155       219887       5212298      738790       4857019      5348220      
28      5254472      124869       222557       5401663      717182       5278744      5451702      
30      5434351      121164       242676       5503255      728041       5468171      5514238      
32      5456803      132710       253734       5556410      742204       5551387      5720705      
34      5244223      114938       272689       5532230      725936       5602570      5612109      
36      5337495      113348       220493       5654134      720914       5448907      5342630      
38      1587719      7771         10077        4389375      586708       4447231      1577204      
40      1207756      7125         4421         4531906      647068       4537149      1226144      
42      1098117      4493         3154         4648365      611769       4578392      1073011      
44      1058729      3829         3191         4736053      565529       4712109      963923       
46      928876       3573         1926         4792709      571339       4819540      897559       
48      921458       3587         3125         4811600      562550       4854924      916415       
52      910008       3256         2347         4867665      528246       4942360      878772       
56      1003421      2645         1859         4895655      530680       4883360      934030       
60      851671       2322         1853         4925106      526938       4690830      982618       
64      1002442      2323         1649         4627721      465441       4820506      928857       
