### params -i8192 -r16384 -u40 / keep median of reps 3 of dur 7000
# Result from 3 repetitions: median
#       lpdxeon2680lb-ll_lazy_0 lpdxeon2680lb-ll_copy_0 lpdxeon2680lb-ll_coupling_0 lpdxeon2680lf-ll_harris_opt_0 lpdxeon2680lb-ll_optik_gl_0 lpdxeon2680lb-ll_optik_0 lpdxeon2680lb-ll_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       17895        52556        17438        17473        17792        17984        18070        
2       34694        66937        6512         33936        31623        34344        34634        
4       67388        68758        13748        65572        47003        66753        66393        
6       95224        68444        16119        92563        48543        94425        95169        
8       120184       68636        21731        116693       48085        117704       119686       
10      141451       69225        24795        138881       47914        139267       143636       
12      164189       64553        30910        160386       46911        161987       164280       
14      186553       65313        33301        181056       46641        182448       186128       
16      207717       68470        37664        201990       46386        203194       206869       
18      227754       64058        39777        221473       45933        223266       226903       
20      247579       64143        43860        243105       45787        241543       247934       
22      269636       62863        47726        260001       45145        262328       268467       
24      285917       60155        49976        278961       44909        278220       283758       
26      301849       59118        52793        293475       44217        295318       301144       
28      313255       56561        55683        305883       43597        303983       312836       
30      327679       54393        58541        320313       43141        321449       327365       
32      342194       53381        61226        334898       42727        333313       338357       
34      346955       52693        64418        348303       42417        346525       355378       
36      368245       51606        67139        357835       41039        356337       368263       
38      378591       51200        70040        366873       40783        361815       381245       
40      395024       49985        73238        383107       40319        382160       396276       
44      420390       4184         1382         395521       40363        406513       416804       
48      405542       2543         829          391545       40063        398244       400459       
52      391995       1902         502          376241       39912        392212       401083       
56      382402       1570         628          362805       39100        388034       394040       
60      372667       1379         406          370497       38102        361665       368924       
