### params -i8192 -r16384 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpd48corelf-ht_harris_0 lpd48corelb-ht_java_0 lpd48corelb-ht_optik0_0 lpd48corelb-ht_optik1_0 lpd48corelb-ht_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       13127075     21794160     11948681     16538918     14561322     
2       13179807     14699962     12107163     15076608     14722718     
4       21829858     18798516     18855066     23548508     21980759     
6       28792235     22523988     27077656     29345075     28229082     
8       29189070     27164214     29217332     32805678     30013515     
10      34634037     28434480     36519527     38027499     34632657     
12      38486231     32156173     37929427     40662146     41161450     
14      37011479     32664662     43096069     41062119     36925415     
16      35760414     37159179     45162154     37523253     48307128     
18      53461375     41145252     47466982     51762768     46779129     
20      36525697     39022018     46711184     49479813     47262829     
22      57850266     42008783     44388087     43429768     53340952     
24      36655326     45506224     35059777     39249088     44676007     
26      51206184     41731309     41521530     45110725     48579661     
28      34597560     46165333     45457944     37314825     36817566     
30      40644131     44448386     35523631     31191155     50870034     
32      40106492     41206114     39731021     32809391     27811329     
34      35363581     39748949     16075935     33829505     23927289     
36      32273740     29303272     21714051     9253371      29464959     
38      31018175     1281466      8105081      7824459      7809436      
40      35500104     853433       5825522      5520777      6026919      
42      32838098     766948       5299433      4723809      5055574      
44      32170227     712037       4914465      4492991      5049335      
46      31369918     698805       4564262      4166141      4203054      
48      31639853     729593       3999074      4023404      4156358      
52      31603014     702719       3922265      3772940      3729856      
56      30713129     794076       3565632      3511598      3624882      
60      31085786     801890       3644515      3067230      3253102      
64      32090702     709074       2934532      2834209      3054818      
