### params -i64 -r128 -u40 / keep median of reps 3 of dur 7000
# Result from 3 repetitions: median
#       lpdxeon2680lb-ll_lazy_0 lpdxeon2680lb-ll_copy_0 lpdxeon2680lb-ll_coupling_0 lpdxeon2680lf-ll_harris_opt_0 lpdxeon2680lb-ll_optik_gl_0 lpdxeon2680lb-ll_optik_0 lpdxeon2680lb-ll_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       12722719     3430596      3616485      9542316      12253030     11288274     12674947     
2       7755949      3254755      1140252      13952236     11870803     5720269      4891354      
4       8880618      2560007      642357       8338454      6897779      8199350      7899721      
6       10495703     2536992      701868       10394079     6450425      10411807     9934506      
8       11952243     2583788      756277       12184340     6727765      11719572     11191205     
10      13286449     2601393      785172       13468840     6628565      13356633     12808491     
12      14957339     2523200      724322       15383191     7117346      15846892     14379773     
14      16459023     2591834      744333       17240771     7792174      17341434     15825827     
16      17783854     2472657      543066       18592771     8910612      19764121     17220440     
18      18905833     2482957      460697       22283858     7614662      21528206     18861873     
20      20134850     2401317      415507       22336091     9528287      29606507     19338219     
22      21608617     2413305      397664       25002074     8076956      26416268     20970014     
24      22878292     2358764      393655       24985458     7792325      25464309     22233314     
26      23766027     2272016      384832       26131528     7806548      27207179     23600226     
28      25050908     2226311      388892       27627610     7832097      28641106     24801936     
30      26031508     2145792      383730       29008515     7968209      30249767     25580703     
32      26733960     2115165      368424       30227591     7912868      31458202     26972803     
34      27828385     2071418      355929       31414128     7981875      33042560     27779340     
36      28724666     2041088      339491       32588397     7938704      34392472     29363554     
38      29972230     2034528      334624       33913271     8000697      35858593     30291613     
40      30836828     1993543      326627       34742767     6354583      37187000     30793268     
44      1992207      5414         138082       16121669     2846518      15610545     1994033      
48      895797       4695         94070        16420465     3460714      15764437     932581       
52      625152       2545         70310        15981421     3250747      15120720     640778       
56      496419       2806         55554        15688173     3573694      14826493     528142       
60      416503       3089         45262        15820964     3411042      14636565     489399       
