### params -i8192 -r16384 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpd48corelf-ht_harris_2 lpd48corelb-ht_java_2 lpd48corelb-ht_optik0_2 lpd48corelb-ht_optik1_2 lpd48corelb-ht_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   
1       10903526     16354276     10709259     13115223     12029175     
2       11309463     12011304     11449884     12055588     12084490     
4       16048673     15392559     16588787     18175054     17432740     
6       21310592     17940365     19840585     21604894     21293358     
8       22160234     19966830     21419185     23819885     22211806     
10      24474848     20768333     22419619     25332975     23285973     
12      25206417     22470555     22785676     27437502     25993291     
14      26062528     19660774     23013080     26865965     24446228     
16      26171284     23344005     23451228     26506747     26284564     
18      26781435     26835635     24719850     32625280     26101848     
20      27485366     21999469     22564090     23869608     27183474     
22      28825005     26993838     25500890     26737648     26864489     
24      30331189     22892115     26329325     35579264     29617237     
26      29615966     19899701     26082507     27455206     28751458     
28      29981640     20048312     26113236     41917592     28307239     
30      31739543     20406275     26030820     30443063     29742324     
32      31890299     16397917     26400307     38076614     25564827     
34      32070697     14282324     24293141     30150848     24245955     
36      28675940     12603445     23199222     28628723     24030493     
38      22753517     1417359      1651848      1699512      1743761      
40      21592334     1066906      1038637      994502       1138568      
42      20547996     916732       994526       929285       971611       
44      19967656     877029       947987       881279       897081       
46      19986646     820430       848335       846684       895796       
48      20001024     827231       878909       804892       919439       
52      21030792     894175       889897       844265       844132       
56      21014474     993744       903799       837599       906502       
60      20760429     971270       929280       936955       959482       
64      21277286     1108046      966459       981802       1008916      
