### params -i512 -r1024 -u40 / keep median of reps 3 of dur 7000
# Result from 3 repetitions: median
#       lpdxeon2680lf-ht_harris_2 lpdxeon2680lb-ht_java_2 lpdxeon2680lb-ht_optik0_2 lpdxeon2680lb-ht_optik1_2 lpdxeon2680lb-ht_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   
1       23574719     28650490     23764106     25899084     24492523     
2       28331053     31663252     32324308     30861083     23289228     
4       40794122     41307891     45715065     46999563     38996137     
6       77411546     59375930     59171624     59652673     50678330     
8       101464946    76063770     82700142     73049680     66643051     
10      113500639    86637350     107215220    100595279    75598462     
12      134922666    99928220     126370235    108229988    85302712     
14      135171493    63665496     123799038    117695407    65248470     
16      128642176    58728779     112612829    100757859    52088149     
18      119037321    38046691     109739655    106334062    48677512     
20      110356471    32754921     110198223    99156863     39315808     
22      76939635     29393499     111152203    100406425    34049619     
24      61488711     27170725     112276251    102002432    31876113     
26      65295561     24434703     111883028    102679045    29728947     
28      70360288     23389274     113728056    104211900    27918270     
30      68882435     22087700     112301837    105513397    26611763     
32      54771202     21780272     113423327    103293200    26629028     
34      26967327     20611727     111571643    100420079    25661503     
36      23131808     19964023     104827707    100269199    25075960     
38      21943104     19437356     87346830     92440453     24172272     
40      20594569     18382049     67983434     86508165     22665804     
44      20207733     1220571      1014038      1060823      1305404      
48      20499499     801990       661021       707411       782511       
52      20404290     649543       584095       590526       676466       
56      20706699     596108       545291       536047       597602       
60      23503388     602714       509462       511801       570303       
