### params -i1024 -r2048 -u40 / keep median of reps 3 of dur 7000
# Result from 3 repetitions: median
#       lpdxeon2680lb-ll_lazy_2 lpdxeon2680lb-ll_copy_2 lpdxeon2680lb-ll_coupling_2 lpdxeon2680lf-ll_harris_opt_2 lpdxeon2680lb-ll_optik_gl_2 lpdxeon2680lb-ll_optik_2 lpdxeon2680lb-ll_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       165414       353573       136540       153440       168639       166498       161820       
2       262347       444597       69790        278171       244071       309874       240448       
4       512277       425809       46854        552149       411549       578908       482810       
6       755060       417786       66047        798378       457297       853868       715060       
8       1028568      424068       86123        1034141      468707       1037262      988981       
10      1296272      418450       108197       1221971      472969       1276245      1195521      
12      1517217      416877       123660       1441918      474529       1545771      1349789      
14      1711334      414513       142254       1606439      479482       1712036      1666479      
16      1840430      403428       162342       1867673      485079       1978925      1794109      
18      2096720      407657       178180       2031941      478696       2118666      1905710      
20      2284215      397363       195448       2252254      486068       2364371      2299707      
22      2637468      391079       205083       2599489      485419       2777174      2579394      
24      2857061      368033       219697       2828342      490983       2950674      2851415      
26      2995112      360427       232238       2922783      489604       3100069      2919497      
28      3092600      347968       245193       3068595      501138       3178063      3140067      
30      3208138      342438       257754       3115380      496483       3306967      3131386      
32      3356146      334049       269499       3202855      473635       3341637      3270410      
34      3346505      327270       285490       3171290      464075       3538348      3364389      
36      3314948      320595       299889       3204404      439953       3531740      3240984      
38      3052298      316215       312505       2977156      413539       3324699      3210742      
40      2661476      289631       250862       2670550      368338       2749011      2661489      
44      1989745      4769         9222         2973653      398033       3085275      2016852      
48      1486482      2614         4918         2964634      392244       2908108      1438564      
52      1246371      2041         2334         2877039      383209       2730170      1246006      
56      943682       1661         1059         2866209      374406       2885606      1068069      
60      878066       1838         1430         2682750      384216       2826292      809993       
